year quarter area Species.no Age LengthGroup Length proportion proportion.adjusted Nbar
1981 1 1 16 1 2 9 0.07081 0.07081 747155
1981 1 1 16 1 3 13 0.42871 0.42871 747155
1981 1 1 16 1 4 17 0.32321 0.32321 747155
1981 1 1 16 1 5 22 0.13522 0.13522 747155
1981 1 1 16 1 6 27 0.04205 0.04205 747155
1981 1 1 16 2 4 18 0.00648 0.00648 335294
1981 1 1 16 2 5 23 0.06505 0.06505 335294
1981 1 1 16 2 6 28 0.23846 0.23846 335294
1981 1 1 16 2 7 34 0.54848 0.54848 335294
1981 1 1 16 2 8 44 0.11573 0.11573 335294
1981 1 1 16 2 9 54 0.02579 0.02579 335294
1981 1 1 16 3 6 28 0.00776 0.00776 48107.7
1981 1 1 16 3 7 37 0.14284 0.14284 48107.7
1981 1 1 16 3 8 45 0.38181 0.38181 48107.7
1981 1 1 16 3 9 57 0.42856 0.42856 48107.7
1981 1 1 16 3 10 74 0.03904 0.03904 48107.7
1981 1 1 16 4 7 38 0.01065 0.01065 16240.6
1981 1 1 16 4 8 46 0.0425 0.0425 16240.6
1981 1 1 16 4 9 62 0.39286 0.39286 16240.6
1981 1 1 16 4 10 79 0.55399 0.55399 16240.6
1981 1 1 16 5 8 45 0.01389 0.01389 9368.41
1981 1 1 16 5 9 65 0.07007 0.07007 9368.41
1981 1 1 16 5 10 85 0.89842 0.89842 9368.41
1981 1 1 16 5 11 104 0.01762 0.01762 9368.41
1981 1 1 16 6 9 64 0.02205 0.02205 1603.15
1981 1 1 16 6 10 90 0.69185 0.69185 1603.15
1981 1 1 16 6 11 105 0.28609 0.28609 1603.15
1981 1 1 16 7 9 62 0.00495 0.00495 1127.4
1981 1 1 16 7 10 91 0.42095 0.42095 1127.4
1981 1 1 16 7 11 106 0.5741 0.5741 1127.4
1981 1 1 16 8 10 94 0.26667 0.26667 268.265
1981 1 1 16 8 11 107 0.71739 0.71739 268.265
1981 1 1 16 8 12 120 0.01594 0.01594 268.265
1981 1 1 16 9 10 95 0.07702 0.07702 129.696
1981 1 1 16 9 11 108 0.87295 0.87295 129.696
1981 1 1 16 9 12 124 0.05003 0.05003 129.696
