data Species.n Quarter Year fleet Age observed model residual stand.residual s2
catch 21 1 1974 -9 1  2.794670e+05 1.864109e+05 4.049309e-01 4.704632e-01 7.408163e-01
catch 21 1 1974 -9 2  1.449188e+05 1.450305e+05 -7.704532e-04 -8.951400e-04 7.408163e-01
catch 21 1 1974 -9 3  2.910000e+04 8.205337e+04 -1.036632e+00 -1.204396e+00 7.408163e-01
catch 21 1 1974 -9 4  1.738620e+04 1.983413e+04 -1.317273e-01 -1.530455e-01 7.408163e-01
catch 21 1 1974 -9 5  5.490210e+03 6.846787e+03 -2.208130e-01 -2.565484e-01 7.408163e-01
catch 21 1 1974 -9 6  4.500000e+03 2.625800e+03 5.386917e-01 6.258713e-01 7.408163e-01
catch 21 1 1974 -9 7  8.823500e+02 9.467609e+02 -7.045775e-02 -8.186033e-02 7.408163e-01
catch 21 1 1974 -9 8  6.526300e+02 1.184640e+03 -5.961835e-01 -6.651005e-01 8.034992e-01
catch 21 1 1975 -9 1  1.614200e+06 3.963432e+05 1.404314e+00 1.631582e+00 7.408163e-01
catch 21 1 1975 -9 2  1.308000e+05 1.399357e+05 -6.751369e-02 -7.843982e-02 7.408163e-01
catch 21 1 1975 -9 3  1.919261e+04 7.155605e+04 -1.315956e+00 -1.528924e+00 7.408163e-01
catch 21 1 1975 -9 4  7.500000e+03 3.517114e+04 -1.545323e+00 -1.795411e+00 7.408163e-01
catch 21 1 1975 -9 5  7.900000e+03 1.209125e+04 -4.256191e-01 -4.944995e-01 7.408163e-01
catch 21 1 1975 -9 6  2.683330e+03 4.078167e+03 -4.185891e-01 -4.863318e-01 7.408163e-01
catch 21 1 1975 -9 7  1.800000e+03 1.577186e+03 1.321446e-01 1.535304e-01 7.408163e-01
catch 21 1 1975 -9 8  8.228600e+02 1.288117e+03 -4.481509e-01 -4.999557e-01 8.034992e-01
catch 21 1 1976 -9 1  1.500000e+04 7.140782e+04 -1.560357e+00 -1.812879e+00 7.408163e-01
catch 21 1 1976 -9 2  1.661000e+05 7.808919e+04 7.547384e-01 8.768821e-01 7.408163e-01
catch 21 1 1976 -9 3  2.098211e+04 1.584472e+04 2.808338e-01 3.262828e-01 7.408163e-01
catch 21 1 1976 -9 4  8.783110e+03 7.143325e+03 2.066522e-01 2.400959e-01 7.408163e-01
catch 21 1 1976 -9 5  3.300000e+03 5.368247e+03 -4.865789e-01 -5.653247e-01 7.408163e-01
catch 21 1 1976 -9 6  1.000000e+02 1.802259e+03 -2.891626e+00 -3.359594e+00 7.408163e-01
catch 21 1 1976 -9 7  1.000000e+02 6.162160e+02 -1.818427e+00 -2.112714e+00 7.408163e-01
catch 21 1 1976 -9 8  1.272700e+02 4.371664e+02 -1.234003e+00 -1.376650e+00 8.034992e-01
catch 21 1 1977 -9 1  6.225686e+04 1.393669e+04 1.496744e+00 1.738970e+00 7.408163e-01
catch 21 1 1977 -9 2  1.814058e+04 8.439226e+03 7.652609e-01 8.891074e-01 7.408163e-01
catch 21 1 1977 -9 3  1.773000e+05 6.091663e+03 3.370922e+00 3.916458e+00 7.408163e-01
catch 21 1 1977 -9 4  9.400000e+03 1.106185e+03 2.139792e+00 2.486087e+00 7.408163e-01
catch 21 1 1977 -9 5  4.929580e+03 7.034566e+02 1.947003e+00 2.262098e+00 7.408163e-01
catch 21 1 1977 -9 6  2.767500e+03 5.162483e+02 1.679112e+00 1.950852e+00 7.408163e-01
catch 21 1 1977 -9 7  1.500000e+03 1.788863e+02 2.126470e+00 2.470609e+00 7.408163e-01
catch 21 1 1977 -9 8  4.000000e+02 1.061575e+02 1.326541e+00 1.479885e+00 8.034992e-01
catch 21 1 1978 -9 1  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 2  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 3  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 4  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 5  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 6  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 7  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 8  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 1  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 2  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 3  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 4  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 5  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 6  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 7  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 8  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1980 -9 1  9.746222e+04 3.002325e+04 1.177493e+00 1.368053e+00 7.408163e-01
catch 21 1 1980 -9 2  6.700000e+03 7.748680e+03 -1.454150e-01 -1.689484e-01 7.408163e-01
catch 21 1 1980 -9 3  1.410000e+04 5.659405e+03 9.128561e-01 1.060589e+00 7.408163e-01
catch 21 1 1980 -9 4  3.912150e+03 2.791348e+03 3.375626e-01 3.921923e-01 7.408163e-01
catch 21 1 1980 -9 5  3.700000e+03 1.452456e+03 9.350771e-01 1.086406e+00 7.408163e-01
catch 21 1 1980 -9 6  1.045500e+02 1.132683e+03 -2.382679e+00 -2.768282e+00 7.408163e-01
catch 21 1 1980 -9 7  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1980 -9 8  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1981 -9 1  1.155122e+05 1.206022e+05 -4.312096e-02 -5.009947e-02 7.408163e-01
catch 21 1 1981 -9 2  1.377902e+04 3.615878e+04 -9.647726e-01 -1.120907e+00 7.408163e-01
catch 21 1 1981 -9 3  9.015800e+02 7.541396e+03 -2.124014e+00 -2.467755e+00 7.408163e-01
catch 21 1 1981 -9 4  3.007600e+02 4.866131e+03 -2.783742e+00 -3.234251e+00 7.408163e-01
catch 21 1 1981 -9 5  1.993000e+02 3.020955e+03 -2.718517e+00 -3.158470e+00 7.408163e-01
catch 21 1 1981 -9 6  7.031000e+02 1.580616e+03 -8.100706e-01 -9.411690e-01 7.408163e-01
catch 21 1 1981 -9 7  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1981 -9 8  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1982 -9 1  7.877501e+04 1.364405e+05 -5.492929e-01 -6.381881e-01 7.408163e-01
catch 21 1 1982 -9 2  9.682534e+04 6.778462e+04 3.565734e-01 4.142798e-01 7.408163e-01
catch 21 1 1982 -9 3  1.005000e+05 1.733333e+04 1.757527e+00 2.041957e+00 7.408163e-01
catch 21 1 1982 -9 4  1.010000e+04 3.141599e+03 1.167803e+00 1.356796e+00 7.408163e-01
catch 21 1 1982 -9 5  5.500000e+03 2.580346e+03 7.568245e-01 8.793057e-01 7.408163e-01
catch 21 1 1982 -9 6  2.200000e+03 1.589297e+03 3.251657e-01 3.777891e-01 7.408163e-01
catch 21 1 1982 -9 7  2.000000e+03 8.887998e+02 8.110304e-01 9.422841e-01 7.408163e-01
catch 21 1 1982 -9 8  2.350000e+03 1.135804e+03 7.270744e-01 8.111219e-01 8.034992e-01
catch 21 1 1983 -9 1  1.071943e+05 2.740690e+05 -9.387368e-01 -1.090658e+00 7.408163e-01
catch 21 1 1983 -9 2  8.288924e+04 1.335551e+05 -4.770091e-01 -5.542062e-01 7.408163e-01
catch 21 1 1983 -9 3  2.200000e+04 6.220261e+04 -1.039355e+00 -1.207559e+00 7.408163e-01
catch 21 1 1983 -9 4  1.758327e+04 1.947274e+04 -1.020677e-01 -1.185859e-01 7.408163e-01
catch 21 1 1983 -9 5  2.800000e+03 4.084128e+03 -3.774888e-01 -4.385800e-01 7.408163e-01
catch 21 1 1983 -9 6  1.200000e+03 3.316703e+03 -1.016650e+00 -1.181180e+00 7.408163e-01
catch 21 1 1983 -9 7  4.000000e+02 2.126975e+03 -1.670991e+00 -1.941418e+00 7.408163e-01
catch 21 1 1983 -9 8  4.052600e+02 2.744656e+03 -1.912882e+00 -2.134005e+00 8.034992e-01
catch 21 1 1984 -9 1  3.632911e+05 3.993610e+05 -9.466137e-02 -1.099810e-01 7.408163e-01
catch 21 1 1984 -9 2  1.547840e+05 3.106603e+05 -6.966696e-01 -8.094157e-01 7.408163e-01
catch 21 1 1984 -9 3  8.532756e+04 1.289736e+05 -4.131104e-01 -4.799664e-01 7.408163e-01
catch 21 1 1984 -9 4  3.546651e+04 6.020655e+04 -5.291923e-01 -6.148345e-01 7.408163e-01
catch 21 1 1984 -9 5  1.461261e+04 1.466587e+04 -3.638179e-03 -4.226967e-03 7.408163e-01
catch 21 1 1984 -9 6  3.749310e+03 3.420533e+03 9.177535e-02 1.066279e-01 7.408163e-01
catch 21 1 1984 -9 7  2.186780e+03 2.870028e+03 -2.718915e-01 -3.158933e-01 7.408163e-01
catch 21 1 1984 -9 8  6.164140e+03 4.299998e+03 3.601341e-01 4.017645e-01 8.034992e-01
catch 21 1 1985 -9 1  1.785225e+06 4.139929e+05 1.461451e+00 1.697966e+00 7.408163e-01
catch 21 1 1985 -9 2  9.032850e+04 3.093794e+05 -1.231115e+00 -1.430354e+00 7.408163e-01
