Species.n catch CPUE SSB.Rec  stomachs stomachs.N other.pred_noise penalty all n.catch n.CPUE n.SSB.R n.stom n.all.obs  other.noise n.par
1   0 0 0 -223.602 0 0 0 -6418.33  0 0 0 144 144 0 1852
2   0 0 0 -196.42 0 0 0 -6418.33  0 0 0 144 144 0 1852
3   0 0 0 -304.337 0 0 0 -6418.33  0 0 0 168 168 0 1852
4   0 0 0 -188.35 0 0 0 -6418.33  0 0 0 132 132 0 1852
5   0 0 0 -352.181 0 0 0 -6418.33  0 0 0 204 204 0 1852
6   0 0 0 -71.0107 0 0 0 -6418.33  0 0 0 96 96 0 1852
7   0 0 0 -58.0979 0 0 0 -6418.33  0 0 0 96 96 0 1852
8   0 0 0 -97.5844 0 0 0 -6418.33  0 0 0 132 132 0 1852
9   0 0 0 -38.5826 0 0 0 -6418.33  0 0 0 64 64 0 1852
10   0 0 0 -15.0079 0 0 0 -6418.33  0 0 0 137 137 0 1852
11   0 0 0 1.80866 0 0 0 -6418.33  0 0 0 14 14 0 1852
12   0 0 0 -14.2006 0 0 0 -6418.33  0 0 0 36 36 0 1852
13   0 0 0 -226.422 0 0 0 -6418.33  0 0 0 105 105 0 1852
14   0 0 0 -22.4016 0 0 0 -6418.33  0 0 0 19 19 0 1852
15   0 0 0 -16.8947 0 0 0 -6418.33  0 0 0 33 33 0 1852
16   -443.633 -137.625 -8.99802 -1483.49 0 0 0 -6418.33  490 528 49 864 1931 0 1852
17   -186.988 -192.807 -30.3055 -531.26 0 0 0 -6418.33  294 392 49 617 1352 0 1852
18   -121.186 -183.584 17.7602 -62.2591 0 0 0 -6418.33  490 608 49 132 1279 0 1852
19   -321.725 -73.3356 -24.7266 -19.328 0 0 0 -6418.33  392 343 46 215 996 0 1852
20   -458.213 -75.3899 -8.14798 -88.641 0 0 0 -6418.33  490 387 49 112 1038 0 1852
21   266.6 -191.937 -12.5561 0 0 0 0 -6418.33  1666 336 49 0 2051 0 1852
22   156.349 54.1702 12.8013 0 0 0 0 -6418.33  882 243 49 0 1174 0 1852
23   97.4307 -22.5046 3.9647 0 0 0 0 -6418.33  882 158 49 0 1089 0 1852
24   286.611 -35.6038 -7.67911 0 0 0 0 -6418.33  686 296 49 0 1031 0 1852
25   147.316 39.5708 -5.30065 0 0 0 0 -6418.33  588 267 49 0 904 0 1852
26   -407.204 -145.614 -27.4657 0 0 0 0 -6418.33  490 864 47 0 1401 0 1852
27   -439.963 25.7009 -6.56299 0 0 0 0 -6418.33  490 668 47 0 1205 0 1852
