Species.n sp_fl CPUE meanCPUE
16 1 -102.894 -0.367
16 2  -34.731 -0.140
17 3 -101.099 -0.505
17 4  -91.708 -0.478
18 5 -121.055 -0.378
18 6  -62.530 -0.217
19 7  -73.336 -0.214
20 8  -75.390 -0.195
21 9 -157.336 -0.596
21 10  -23.331 -0.583
21 11  -11.269 -0.364
22 12    9.516 0.250
22 13    1.869 0.031
22 14    6.181 0.103
22 15   20.188 0.696
22 16   16.416 0.293
23 17   11.565 0.304
23 18  -19.228 -0.320
23 19  -14.842 -0.247
24 20    1.365 0.022
24 21  -34.473 -0.287
24 22    0.449 0.007
24 23   -2.945 -0.059
25 24   -7.107 -0.139
25 25   49.559 0.403
25 26   -2.881 -0.031
26 27   -4.667 -0.047
26 28 -159.542 -0.591
26 29  -71.093 -0.555
26 30   50.693 0.279
26 31   46.428 0.301
26 32   -7.433 -0.240
27 33  -76.343 -0.201
27 34  102.044 0.354
