"SMS_area" "year" "quarter" "prey" "prey.no" "prey.age" "prey.size.class" "prey.size" "ALK.MeanL" "ALK"
1 1981 1 "COD" 16 1 2 "0070-0100" 9.0095569246 7.0811959636
1 1981 1 "COD" 16 1 3 "0100-0150" 12.562963293 42.871322884
1 1981 1 "COD" 16 1 4 "0150-0200" 17.217641017 32.320729263
1 1981 1 "COD" 16 1 5 "0200-0250" 22.072218505 13.521981537
1 1981 1 "COD" 16 1 6 "0250-0300" 26.817171477 4.204770352
1 1981 1 "COD" 16 2 4 "0150-0200" 18.378009289 0.6482509872
1 1981 1 "COD" 16 2 5 "0200-0250" 22.971249979 6.5052595055
1 1981 1 "COD" 16 2 6 "0250-0300" 27.758489385 23.846272119
1 1981 1 "COD" 16 2 7 "0300-0400" 34.176470207 54.848167679
1 1981 1 "COD" 16 2 8 "0400-0500" 43.70092431 11.573162632
1 1981 1 "COD" 16 2 9 "0500-0700" 53.670889438 2.5788870769
1 1981 1 "COD" 16 3 6 "0250-0300" 28.171309572 0.7756360105
1 1981 1 "COD" 16 3 7 "0300-0400" 36.750519403 14.283760737
1 1981 1 "COD" 16 3 8 "0400-0500" 45.077243228 38.180888083
1 1981 1 "COD" 16 3 9 "0500-0700" 57.419425052 42.85578307
1 1981 1 "COD" 16 3 10 "0700-1000" 73.524151316 3.9039321002
1 1981 1 "COD" 16 4 7 "0300-0400" 37.610296747 1.0646764554
1 1981 1 "COD" 16 4 8 "0400-0500" 46.275921232 4.2496212536
1 1981 1 "COD" 16 4 9 "0500-0700" 62.326196093 39.286483576
1 1981 1 "COD" 16 4 10 "0700-1000" 79.115110252 55.399218715
1 1981 1 "COD" 16 5 8 "0400-0500" 44.803709627 1.3890492141
1 1981 1 "COD" 16 5 9 "0500-0700" 65.135836647 7.0067041404
1 1981 1 "COD" 16 5 10 "0700-1000" 85.090051584 89.842168531
1 1981 1 "COD" 16 5 11 "1000-1200" 103.88778174 1.7620781148
1 1981 1 "COD" 16 6 9 "0500-0700" 64.106666242 2.2053913605
1 1981 1 "COD" 16 6 10 "0700-1000" 90.238050386 69.185373833
1 1981 1 "COD" 16 6 11 "1000-1200" 105.04090843 28.609234807
1 1981 1 "COD" 16 7 9 "0500-0700" 62.5 0.4950125604
1 1981 1 "COD" 16 7 10 "0700-1000" 90.583015597 42.095132175
1 1981 1 "COD" 16 7 11 "1000-1200" 106.15498692 57.409855264
1 1981 1 "COD" 16 8 10 "0700-1000" 94.410950756 26.667152546
1 1981 1 "COD" 16 8 11 "1000-1200" 106.64356946 71.739316529
1 1981 1 "COD" 16 8 12 "1200-9999" 120.5 1.5935309253
1 1981 1 "COD" 16 9 10 "0700-1000" 94.815898713 7.702379273
1 1981 1 "COD" 16 9 11 "1000-1200" 108.41657189 87.295108484
1 1981 1 "COD" 16 9 12 "1200-9999" 124.5 5.0025122434
1 1981 1 "COD" 16 10 10 "0700-1000" 99.5 8.9101883588
1 1981 1 "COD" 16 10 11 "1000-1200" 109.04295982 53.758407082
1 1981 1 "COD" 16 10 12 "1200-9999" 130.91085271 37.33140456
