"SMS_area" "year" "quarter" "pred" "pred.no" "pred.size" "pred.size.class" "pred.mean.length" "haul.no" "stom.no" "phi" "prey" "prey.no" "prey.size" "prey.size.class" "prey.mean.length" "prey.mean.length.ALK" "stomcon" "type" "mean.weight" "haul.prey.no" "calc.prey.number" "used.prey.number"
1 1981 1 "COD" 16 "0150-0200" 4 175 47 251 16.3539223262293 "OTH" 0 "9999-9999" 0 9999 -9 0.966585136852362 "obs" 9999 1 -1 -1
1 1981 1 "COD" 16 "0150-0200" 4 175 47 251 16.3539223262293 "SSA" 23 "0070-0100" 2 85 -9 0.00368482363193129 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "COD" 16 "0150-0200" 4 175 47 251 16.3539223262293 "SPR" 25 "0070-0100" 2 85 -9 0.0297300395157066 "obs" 0.00441543242909492 1 -1 -1
1 1981 1 "COD" 16 "0200-0250" 5 225 68 531 17.4561724823895 "OTH" 0 "9999-9999" 0 9999 -9 0.870916118757774 "obs" 9999 1 -1 -1
1 1981 1 "COD" 16 "0200-0250" 5 225 68 531 17.4561724823895 "SSA" 23 "0070-0100" 2 85 -9 0.00589191267269529 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "COD" 16 "0200-0250" 5 225 68 531 17.4561724823895 "SSA" 23 "0100-0150" 3 125 -9 0.00587661525106737 "obs" 0.00696716187695519 1 -1 -1
1 1981 1 "COD" 16 "0200-0250" 5 225 68 531 17.4561724823895 "NOP" 24 "0070-0100" 2 85 -9 0.0110948583359603 "obs" 0.00513329073688333 1 -1 -1
1 1981 1 "COD" 16 "0200-0250" 5 225 68 531 17.4561724823895 "SPR" 25 "0050-0070" 1 60 -9 0.0315112794033123 "obs" 0.00131637182500142 1 -1 -1
1 1981 1 "COD" 16 "0200-0250" 5 225 68 531 17.4561724823895 "SPR" 25 "0070-0100" 2 85 -9 0.0747092155791909 "obs" 0.00441543242909492 1 -1 -1
1 1981 1 "COD" 16 "0250-0300" 6 275 75 601 72.999821321096 "OTH" 0 "9999-9999" 0 9999 -9 0.910554670244492 "obs" 9999 1 -1 -1
1 1981 1 "COD" 16 "0250-0300" 6 275 75 601 72.999821321096 "HER" 21 "0100-0150" 3 125 -9 0.0044052817688177 "obs" 0.0182225024101011 1 -1 -1
1 1981 1 "COD" 16 "0250-0300" 6 275 75 601 72.999821321096 "NSA" 22 "0070-0100" 2 85 -9 0.00142103029598801 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "COD" 16 "0250-0300" 6 275 75 601 72.999821321096 "SSA" 23 "0070-0100" 2 85 -9 0.00199385499935471 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "COD" 16 "0250-0300" 6 275 75 601 72.999821321096 "NOP" 24 "0070-0100" 2 85 -9 0.0390419776674428 "obs" 0.00513329073688333 1 -1 -1
1 1981 1 "COD" 16 "0250-0300" 6 275 75 601 72.999821321096 "SPR" 25 "0050-0070" 1 60 -9 0.00948752343855637 "obs" 0.00131637182500142 1 -1 -1
1 1981 1 "COD" 16 "0250-0300" 6 275 75 601 72.999821321096 "SPR" 25 "0070-0100" 2 85 -9 0.0194311942253936 "obs" 0.00441543242909492 1 -1 -1
1 1981 1 "COD" 16 "0250-0300" 6 275 75 601 72.999821321096 "SPR" 25 "0100-0150" 3 125 -9 0.013664467359955 "obs" 0.0168631139577688 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "OTH" 0 "9999-9999" 0 9999 -9 0.769509550254727 "obs" 9999 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "COD" 16 "0100-0150" 3 125 -9 0.00194567337029692 "obs" 0.0200833177350931 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "WHG" 17 "0100-0150" 3 125 -9 0.0357020143458932 "obs" 0.015770571559659 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "WHG" 17 "0150-0200" 4 175 -9 0.014556127822409 "obs" 0.0424895542763567 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "HAD" 18 "0100-0150" 3 125 -9 0.017520899000121 "obs" 0.0154034006847182 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "HER" 21 "0100-0150" 3 125 -9 0.00890625271443196 "obs" 0.0182225024101011 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "NSA" 22 "0070-0100" 2 85 -9 0.00183468066437403 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "NSA" 22 "0100-0150" 3 125 -9 0.00881198542479012 "obs" 0.00696716187695519 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "NSA" 22 "0150-0200" 4 175 -9 0.00168845561027533 "obs" 0.0195077728658943 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "NSA" 22 "0200-0250" 5 225 -9 0.0047917208189994 "obs" 0.0420910506809898 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "SSA" 23 "0070-0100" 2 85 -9 0.00176185050587328 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "SSA" 23 "0100-0150" 3 125 -9 0.0163426364322206 "obs" 0.00696716187695519 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "SSA" 23 "0150-0200" 4 175 -9 0.00138116519540833 "obs" 0.0195077728658943 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "NOP" 24 "0070-0100" 2 85 -9 0.0117537924275434 "obs" 0.00513329073688333 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "NOP" 24 "0100-0150" 3 125 -9 0.0151842415526621 "obs" 0.0164799506456668 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "SPR" 25 "0050-0070" 1 60 -9 0.00227426059940403 "obs" 0.00131637182500142 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "SPR" 25 "0070-0100" 2 85 -9 0.0332743790839868 "obs" 0.00441543242909492 1 -1 -1
1 1981 1 "COD" 16 "0300-0400" 7 350 95 837 150.350957609587 "SPR" 25 "0100-0150" 3 125 -9 0.0527603141765829 "obs" 0.0168631139577688 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "OTH" 0 "9999-9999" 0 9999 -9 0.79217250671577 "obs" 9999 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "COD" 16 "0100-0150" 3 125 -9 0.00139718746403449 "obs" 0.0200833177350931 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "COD" 16 "0150-0200" 4 175 -9 0.00150598125291359 "obs" 0.0525215905840062 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "WHG" 17 "0100-0150" 3 125 -9 0.0101166205818223 "obs" 0.015770571559659 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "WHG" 17 "0150-0200" 4 175 -9 0.00205186743509591 "obs" 0.0424895542763567 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "WHG" 17 "0200-0250" 5 225 -9 0.0249403086901407 "obs" 0.0890795725545096 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "HAD" 18 "0100-0150" 3 125 -9 0.0237914020334986 "obs" 0.0154034006847182 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "HAD" 18 "0150-0200" 4 175 -9 0.0118408273558094 "obs" 0.0398741413450008 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "HER" 21 "0070-0100" 2 85 -9 0.000399566246613525 "obs" 0.00553341904056128 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "HER" 21 "0100-0150" 3 125 -9 0.0186671662075563 "obs" 0.0182225024101011 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "HER" 21 "0150-0200" 4 175 -9 9.99800039992002e-05 "mid" 0.0515468460677336 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "HER" 21 "0200-0250" 5 225 -9 9.99800039992002e-05 "mid" 0.112073301595353 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "HER" 21 "0250-0300" 6 275 -9 0.00489837575204947 "obs" 0.208368022040802 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "NSA" 22 "0070-0100" 2 85 -9 0.00188636666113059 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "NSA" 22 "0100-0150" 3 125 -9 0.00708401884322718 "obs" 0.00696716187695519 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "NSA" 22 "0150-0200" 4 175 -9 0.00317512462997112 "obs" 0.0195077728658943 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "NSA" 22 "0200-0250" 5 225 -9 0.00359847458063393 "obs" 0.0420910506809898 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "SSA" 23 "0070-0100" 2 85 -9 0.00438133257414177 "obs" 0.00214058843167255 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "SSA" 23 "0100-0150" 3 125 -9 0.00644913854279398 "obs" 0.00696716187695519 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "SSA" 23 "0150-0200" 4 175 -9 0.00105961916946993 "obs" 0.0195077728658943 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "NOP" 24 "0070-0100" 2 85 -9 0.00567534205149396 "obs" 0.00513329073688333 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "NOP" 24 "0100-0150" 3 125 -9 0.0223299944787999 "obs" 0.0164799506456668 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "NOP" 24 "0150-0200" 4 175 -9 0.00411690180365689 "obs" 0.0455937735441265 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "SPR" 25 "0050-0070" 1 60 -9 0.00512558542127026 "obs" 0.00131637182500142 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "SPR" 25 "0070-0100" 2 85 -9 0.0156349815368113 "obs" 0.00441543242909492 1 -1 -1
1 1981 1 "COD" 16 "0400-0500" 8 450 68 455 104.816696129408 "SPR" 25 "0100-0150" 3 125 -9 0.0275013499632971 "obs" 0.0168631139577688 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "OTH" 0 "9999-9999" 0 9999 -9 0.499806888682927 "obs" 9999 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "COD" 16 "0100-0150" 3 125 -9 0.00109874344106647 "obs" 0.0200833177350931 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "COD" 16 "0150-0200" 4 175 -9 0.00138529568906263 "obs" 0.0525215905840062 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "COD" 16 "0200-0250" 5 225 -9 0.00280449994366366 "obs" 0.107689790863805 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "COD" 16 "0250-0300" 6 275 -9 0.0123110679867488 "obs" 0.191060671860115 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "COD" 16 "0300-0400" 7 350 -9 0.00306597362866247 "obs" 0.380549074937876 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "WHG" 17 "0100-0150" 3 125 -9 0.00933868772701366 "obs" 0.015770571559659 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "WHG" 17 "0150-0200" 4 175 -9 0.0187577275681381 "obs" 0.0424895542763567 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "WHG" 17 "0200-0250" 5 225 -9 0.0573073644339981 "obs" 0.0890795725545096 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "WHG" 17 "0250-0300" 6 275 -9 0.0404139516417692 "obs" 0.160874674802708 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "WHG" 17 "0300-0400" 7 350 -9 0.0283529308232253 "obs" 0.327337778340466 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "HAD" 18 "0100-0150" 3 125 -9 0.0149511756865014 "obs" 0.0154034006847182 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "HAD" 18 "0150-0200" 4 175 -9 0.0314902574379614 "obs" 0.0398741413450008 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "HAD" 18 "0200-0250" 5 225 -9 0.0349356804586486 "obs" 0.0811373707245635 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "HAD" 18 "0250-0300" 6 275 -9 0.00546915468416374 "obs" 0.143079379121644 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "HER" 21 "0100-0150" 3 125 -9 0.00691243857803825 "obs" 0.0182225024101011 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "HER" 21 "0150-0200" 4 175 -9 0.0203488392929039 "obs" 0.0515468460677336 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "HER" 21 "0200-0250" 5 225 -9 0.0111061821443272 "obs" 0.112073301595353 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "HER" 21 "0250-0300" 6 275 -9 0.0249658866287485 "obs" 0.208368022040802 1 -1 -1
