Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield Yield.core CWsum CWsum.core prop.landed prop.in propmat BIO SSB Lsea ration
1974 1 16 1 0.05 0.23968 0.294 0.0832854 0.372965 611752 510624 42527.5 0 0.0519 0.304 0 0 0 0 1 0.95 0.0072 31749.9 228.599 153 0.0880281 
1974 1 16 2 0.05 0.158764 0.1778 0.189292 0.398055 187703 154845 29310.9 0 0.576 0.901 0 0 0 0 1 0.9 0.0483 108117 5222.04 329 0.583633 
1974 1 16 3 0.05 0.0143546 0.0539 0.195201 0.259556 27914.3 24585.8 4799.17 0 1.5787 2.206 0 0 0 0 1 0.89 0.209 44068.4 9210.29 496 1.28911 
1974 1 16 4 0.05 0.00132642 0.0499 0.164979 0.216305 36012 32383.4 5342.59 0 3.24419 4.156 0 0 0 0 1 0.94 0.6188 116830 72294.1 702 2.27059 
1974 1 16 5 0.05 0 0.05 0.148186 0.198186 10663.3 9673.12 1433.42 0 5.24525 6.174 0 0 0 0 1 0.96 0.8459 55931.7 47312.6 830 3.31235 
1974 1 16 6 0.05 0 0.05 0.14821 0.19821 2219.58 2013.45 298.414 0 7.82621 8.333 0 0 0 0 1 0.96 1 17370.9 17370.9 937 4.53652 
1974 1 16 7 0.05 0 0.05 0.159299 0.209299 999.418 901.759 143.649 0 8.78805 9.889 0 0 0 0 1 0.96 1 8782.93 8782.93 989 4.96922 
1974 1 16 8 0.05 0 0.05 0.149793 0.199793 942.416 854.241 127.959 0 10.3177 10.791 0 0 0 0 1 0.96 1 9723.58 9723.58 1031 5.63717 
1974 1 16 9 0.05 0 0.05 0.166857 0.216857 572.057 514.281 85.8111 0 11.7651 12.175 0 0 0 0 1 0.96 1 6730.34 6730.34 1041 6.24988 
1974 1 16 10 0.05 0 0.05 0.166857 0.216857 483.624 434.779 72.5458 0 13.0215 13.3397 0 0 0 0 1 0.96 1 6297.5 6297.5 1159 6.76866 
1974 2 16 1 0.05 0.215997 0.294 0.0832854 0.349283 421307 355597 29616.1 0 0.116 0.304 0 0 0 0 1 0.95 0.0072 48871.6 351.876 194 0.222973 
1974 2 16 2 0.05 0.158392 0.1778 0.189292 0.397684 126066 104016 19689.3 0 0.682 0.901 0 0 0 0 1 0.9 0.0483 85976.9 4152.69 357 0.897232 
1974 2 16 3 0.05 0.0131428 0.0539 0.195201 0.258344 21532.9 18976.3 3704.2 0 2.09099 2.206 0 0 0 0 1 0.89 0.209 45025.3 9410.29 552 2.16433 
1974 2 16 4 0.05 0 0.0499 0.164979 0.214979 29007.3 26101.2 4306.15 0 3.92252 4.156 0 0 0 0 1 0.94 0.6188 113781 70408 709 3.54858 
1974 2 16 5 0.05 0 0.05 0.148186 0.198186 8746.22 7934.05 1175.72 0 5.64947 6.174 0 0 0 0 1 0.96 0.8459 49411.5 41797.2 839 4.72697 
1974 2 16 6 0.05 0 0.05 0.14821 0.19821 1820.5 1651.43 244.758 0 8.2498 8.333 0 0 0 0 1 0.96 1 15018.7 15018.7 935 6.36532 
1974 2 16 7 0.05 0 0.05 0.159299 0.209299 810.68 731.464 116.522 0 9.57898 9.889 0 0 0 0 1 0.96 1 7765.49 7765.49 993 7.1583 
1974 2 16 8 0.05 0 0.05 0.149793 0.199793 771.745 699.538 104.786 0 10.6017 10.791 0 0 0 0 1 0.96 1 8181.8 8181.8 1050 7.75239 
1974 2 16 9 0.05 0 0.05 0.166857 0.216857 460.532 414.019 69.0818 0 12.0545 12.175 0 0 0 0 1 0.96 1 5551.46 5551.46 1091 8.57571 
1974 2 16 10 0.05 0 0.05 0.166857 0.216857 389.339 350.017 58.4026 0 13.2173 13.3397 0 0 0 0 1 0.96 1 5146.01 5146.01 1156 9.21943 
1974 3 16 0 0.05 0.807919 0.675 0 0.857919 3.53799e+06 2.3752e+06 0 0 0.00598 0 0 0 0 0 1 0.95 0 21157.2 0 84 0.0222998 
1974 3 16 1 0.05 0.139231 0.294 0.0832854 0.272517 297103 260060 21659.2 139635 0.23 0.304 42449 40326.5 42449 40326.5 1 0.95 0.0072 68333.7 492.003 251 0.392693 
1974 3 16 2 0.05 0.122741 0.1778 0.189292 0.362033 84700.5 71062.5 13451.5 74501.9 0.829 0.901 67126.2 60413.6 67126.2 60413.6 1 0.9 0.0483 70216.7 3391.47 417 1.0757 
1974 3 16 3 0.05 0.00629342 0.0539 0.195201 0.251495 16630.5 14704.1 2870.26 11418 2.38374 2.206 25188.1 22417.4 25188.1 22417.4 1 0.89 0.209 39642.8 8285.34 590 2.46722 
1974 3 16 4 0.05 0 0.0499 0.164979 0.214979 23396 21052.1 3473.16 15744.9 4.50254 4.156 65435.6 61509.5 65435.6 61509.5 1 0.94 0.6188 105342 65185.4 772 4.06713 
1974 3 16 5 0.05 0 0.05 0.148186 0.198186 7173.8 6507.65 964.343 4600.55 6.55416 6.174 28403.8 27267.6 28403.8 27267.6 1 0.96 0.8459 47018.2 39772.7 871 5.46317 
1974 3 16 6 0.05 0 0.05 0.14821 0.19821 1493.17 1354.5 200.75 956.19 8.46159 8.333 7967.93 7649.21 7967.93 7649.21 1 0.96 1 12634.6 12634.6 951 6.6778 
1974 3 16 7 0.05 0 0.05 0.159299 0.209299 657.585 593.329 94.5168 436.1 10.5457 9.889 4312.59 4140.09 4312.59 4140.09 1 0.96 1 6934.67 6934.67 969 7.9394 
1974 3 16 8 0.05 0 0.05 0.149793 0.199793 631.982 572.852 85.8092 392.85 10.9803 10.791 4239.24 4069.67 4239.24 4069.67 1 0.96 1 6939.37 6939.37 1004 8.19547 
1974 3 16 9 0.05 0 0.05 0.166857 0.216857 370.749 333.304 55.614 329.84 12.3438 12.175 4015.8 3855.17 4015.8 3855.17 1 0.96 1 4576.44 4576.44 1092 8.98516 
1974 3 16 10 0.05 0 0.05 0.166857 0.216857 313.436 281.78 47.0168 268.07 13.4131 13.3397 3575.97 3432.93 3575.97 3432.93 1 0.96 1 4204.15 4204.15 1134 9.59145 
1974 4 16 0 0.05 0.346047 0.675 0 0.396047 1.50026e+06 1.2388e+06 0 0 0.0225 0 0 0 0 0 1 0.95 0 33755.9 0 136 0.0704303 
1974 4 16 1 0.05 0.173332 0.294 0.0832854 0.306617 226232 194838 16227.2 0 0.377 0.304 0 0 0 0 1 0.95 0.0072 85289.6 614.085 302 0.645486 
1974 4 16 2 0.05 0.133123 0.1778 0.189292 0.372415 58973.5 49237.4 9320.22 0 1.12 0.901 0 0 0 0 1 0.9 0.0483 66050.3 3190.23 444 1.51895 
1974 4 16 3 0.05 0.00946934 0.0539 0.195201 0.254671 12932.5 11417.1 2228.63 0 2.77057 2.206 0 0 0 0 1 0.89 0.209 35830.5 7488.56 603 3.09527 
1974 4 16 4 0.05 0 0.0499 0.164979 0.214979 18870.3 16979.8 2801.31 0 4.95476 4.156 0 0 0 0 1 0.94 0.6188 93497.7 57856.4 759 4.88781 
1974 4 16 5 0.05 0 0.05 0.148186 0.198186 5884.07 5337.68 790.971 0 7.24711 6.174 0 0 0 0 1 0.96 0.8459 42642.5 36071.3 870 6.59035 
1974 4 16 6 0.05 0 0.05 0.14821 0.19821 1224.69 1110.96 164.655 0 8.7944 8.333 0 0 0 0 1 0.96 1 10770.4 10770.4 948 7.67292 
1974 4 16 7 0.05 0 0.05 0.159299 0.209299 533.402 481.281 76.6676 0 10.6433 9.889 0 0 0 0 1 0.96 1 5677.16 5677.16 991 8.91441 
1974 4 16 8 0.05 0 0.05 0.149793 0.199793 517.531 469.109 70.2691 0 11.2643 10.791 0 0 0 0 1 0.96 1 5829.61 5829.61 1027 9.32069 
