Year Quarter.no SMS.area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean Predator.weight Predator.size Predator.available.food Diri.p Diri.sum.p Diri.like multinom.like Prey.no  Prey.length.class Prey.length.mean Prey.weight  Prey.size Prey.number.obs Prey.number.prob Obj.N.contrib avail.prey.number.sum N.haul N.samples stomcon  stomcon.hat Residual L.N.bar Prey.avail Prey.avail.part Suit Stom.var obj.contrib stom.input stom.used.all stom.used.like stom.used.avail stom.type
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 3.3861 5 -12.2627 0 0 0 -1 -1 -1 0 0 0 0 50 50 0.951788 0.67722 0.274568 -1 1e+06 1e+06 1 0.0364322 0 0.951748 1 1 1 1
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 0.413432 5 -12.2627 0 16 3 110 0.01423 0.01423 0 0 0 0 50 50 0.0104919 0.0826864 -0.0721945 320313 122097 122097 26.7871 0.0126416 0 0.0104914 1 1 1 1
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 0.315317 5 -12.2627 0 17 3 115 0.01249 0.01249 0 0 0 0 50 50 0.011551 0.0630633 -0.0515123 1.31975e+06 93120.9 93120.9 5.64928 0.00984773 0 0.0115505 1 1 1 1
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 0 5 -12.2627 0 21 2 90 0.0066 0.0066 0 0 0 0 50 50 4.223e-05 0 0 296317 0 0 0.264916 0 0 4.223e-05 1 0 0 1
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 0.160721 5 -12.2627 0 21 3 126 0.01912 0.01912 0 0 0 0 50 50 0.00711785 0.0321443 -0.0250264 3.95926e+06 47465 20054.4 0.264916 0.00518517 0 0.0028118 1 1 1 1
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 0 5 -12.2627 0 21 4 163 0.04229 0.04229 0 0 0 0 50 50 0 0 0 2.44665e+06 0 27410.6 0.264916 0 0 0.00430575 1 0 1 1
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 0.234618 5 -12.2627 0 24 2 88 0.00714 0.00714 0 0 0 0 50 50 0.0117956 0.0469237 -0.0351281 3.20359e+06 69288.7 6562.23 0.28689 0.00745364 0 0.00132062 1 1 1 1
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 0 5 -12.2627 0 24 3 107 0.01305 0.01305 0 0 0 0 50 50 0 0 0 1.67542e+07 0 62726.4 0.28689 0 0 0.0104745 1 0 1 1
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 0.489812 5 -12.2627 0 25 1 56 0.00152 0.00152 0 0 0 0 50 50 0.00725587 0.0979623 -0.0907065 2.08212e+07 144654 14857.7 0.469466 0.0147276 0 0.0008827 1 1 1 1
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 0 5 -12.2627 0 25 2 80 0.00467 0.00467 0 0 0 0 50 50 0 0 0 3.24776e+07 0 71204 0.469466 0 0 0.00426226 1 0 1 1
1981 1 1 1 0 9 500 500 5 5 1.47663e+06 0 5 -12.2627 0 25 3 100 0.00914 0.00914 0 0 0 0 50 50 0 0 0 1.36548e+07 0 58591.9 0.469466 0 0 0.0021106 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0.174812 5 -5.76149 0 0 0 -1 -1 -1 0 0 0 0 50 50 0.0403852 0.0349624 0.00542288 -1 100000 100000 1 0.00562333 0 0.0403852 1 1 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0.712551 5 -5.76149 0 17 3 130 0.01794 0.01794 0 0 0 0 50 50 0.0889451 0.14251 -0.0535651 1.31975e+06 407610 43009.4 1.81656 0.0203668 0 0.0113076 1 1 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 17 4 166 0.03718 0.03718 0 0 0 0 50 50 0 0 0 1.98083e+06 0 133785 1.81656 0 0 0.0353542 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 17 5 212 0.07524 0.07524 0 0 0 0 50 50 0 0 0 1.68876e+06 0 230816 1.81656 0 0 0.0422833 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0.645902 5 -5.76149 0 18 3 131 0.01781 0.01781 0 0 0 0 50 50 0.0159745 0.12918 -0.113206 964937 369484 74824.5 4.35393 0.0187488 0 0.00318619 1 1 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 18 4 166 0.03504 0.03504 0 0 0 0 50 50 0 0 0 1.93141e+06 0 294660 4.35393 0 0 0.0127883 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0.482914 5 -5.76149 0 21 2 87 0.00594 0.00594 0 0 0 0 50 50 0.273686 0.0965828 0.177103 296317 276248 3122.09 1.77379 0.0145424 0 0.00353512 1 1 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 21 3 126 0.01911 0.01911 0 0 0 0 50 50 0 0 0 3.95926e+06 0 134207 1.77379 0 0 0.189316 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 21 4 150 0.03201 0.03201 0 0 0 0 50 50 0 0 0 2.44665e+06 0 138918 1.77379 0 0 0.0808345 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 1.03461 5 -5.76149 0 22 2 86 0.00186 0.00186 0 0 0 0 50 50 0.197901 0.206923 -0.00902128 1.99678e+07 591844 45274.3 1.21901 0.027351 0 0.0179241 1 1 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 22 3 115 0.00482 0.00482 0 0 0 0 50 50 0 0 0 5.4971e+07 0 322990 1.21901 0 0 0.141661 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 22 4 159 0.01305 0.01305 0 0 0 0 50 50 0 0 0 1.40545e+07 0 223580 1.21901 0 0 0.0383161 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 1.18336 5 -5.76149 0 23 2 86 0.00186 0.00186 0 0 0 0 50 50 0.197901 0.236672 -0.03877 2.78959e+07 676932 56468.1 1.0883 0.0301097 0 0.0179241 1 1 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 23 3 115 0.00482 0.00482 0 0 0 0 50 50 0 0 0 8.01679e+07 0 420530 1.0883 0 0 0.141661 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 23 4 159 0.01305 0.01305 0 0 0 0 50 50 0 0 0 1.40775e+07 0 199934 1.0883 0 0 0.0383161 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0.765849 5 -5.76149 0 25 1 56 0.00152 0.00152 0 0 0 0 50 50 0.185206 0.15317 0.0320366 2.08212e+07 438099 38659.4 1.22154 0.0216182 0 0.0119955 1 1 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 25 2 80 0.00467 0.00467 0 0 0 0 50 50 0 0 0 3.24776e+07 0 185270 1.22154 0 0 0.0574403 1 0 1 1
1981 1 1 2 0 9 500 500 5 5 2.86022e+06 0 5 -5.76149 0 25 3 111 0.01284 0.01284 0 0 0 0 50 50 0 0 0 1.36548e+07 0 214170 1.22154 0 0 0.115771 1 0 1 1
1981 1 1 3 0 9 500 500 5 5 135208 3.69802 5 -11.3257 0 0 0 -1 -1 -1 0 0 0 0 50 50 0.940661 0.739604 0.201058 -1 100000 100000 1 0.0320983 0 0.940661 1 1 1 1
1981 1 1 3 0 9 500 500 5 5 135208 0.321441 5 -11.3257 0 17 3 115 0.01249 0.01249 0 0 0 0 50 50 0.0138577 0.0642883 -0.0504306 1.31975e+06 8692.26 8692.26 0.527325 0.0100259 0 0.0138577 1 1 1 1
1981 1 1 3 0 9 500 500 5 5 135208 0.247999 5 -11.3257 0 18 3 116 0.01264 0.01264 0 0 0 0 50 50 0.0141616 0.0495998 -0.0354383 964937 6706.27 6706.27 0.549839 0.00785662 0 0.0141616 1 1 1 1
1981 1 1 3 0 9 500 500 5 5 135208 0.0885622 5 -11.3257 0 21 4 163 0.04201 0.04201 0 0 0 0 50 50 0.00845566 0.0177124 -0.00925678 2.44665e+06 2394.86 739.015 0.00718999 0.00289979 0 0.0016167 1 1 1 1
1981 1 1 3 0 9 500 500 5 5 135208 0 5 -11.3257 0 21 5 222 0.10799 0.10799 0 0 0 0 50 50 0 0 0 1.22551e+06 0 951.544 0.00718999 0 0 0.00481218 1 0 1 1
1981 1 1 3 0 9 500 500 5 5 135208 0 5 -11.3257 0 21 6 258 0.1725 0.1725 0 0 0 0 50 50 0 0 0 567856 0 704.297 0.00718999 0 0 0.00202678 1 0 1 1
1981 1 1 3 0 9 500 500 5 5 135208 0.257311 5 -11.3257 0 24 2 88 0.00714 0.00714 0 0 0 0 50 50 0.0141511 0.0514621 -0.0373111 3.20359e+06 6958.07 658.988 0.0288099 0.00813563 0 0.0015844 1 1 1 1
1981 1 1 3 0 9 500 500 5 5 135208 0 5 -11.3257 0 24 3 107 0.01305 0.01305 0 0 0 0 50 50 0 0 0 1.67542e+07 0 6299.08 0.0288099 0 0 0.0125667 1 0 1 1
1981 1 1 3 0 9 500 500 5 5 135208 0.386668 5 -11.3257 0 25 1 56 0.00152 0.00152 0 0 0 0 50 50 0.00871279 0.0773336 -0.0686208 2.08212e+07 10456.1 1073.97 0.0339347 0.0118922 0 0.00105998 1 1 1 1
1981 1 1 3 0 9 500 500 5 5 135208 0 5 -11.3257 0 25 2 80 0.00467 0.00467 0 0 0 0 50 50 0 0 0 3.24776e+07 0 5146.88 0.0339347 0 0 0.00511831 1 0 1 1
1981 1 1 3 0 9 500 500 5 5 135208 0 5 -11.3257 0 25 3 100 0.00914 0.00914 0 0 0 0 50 50 0 0 0 1.36548e+07 0 4235.23 0.0339347 0 0 0.0025345 1 0 1 1
1981 1 1 4 0 9 500 500 5 5 1.75854e+07 2.84327 5 -14.5185 0 0 0 -1 -1 -1 0 0 0 0 50 50 0.816771 0.568655 0.248116 -1 1e+07 1e+07 1 0.0408811 0 0.816771 1 1 1 1
1981 1 1 4 0 9 500 500 5 5 1.75854e+07 0.263049 5 -14.5185 0 16 3 110 0.01423 0.01423 0 0 0 0 50 50 0.0127831 0.0526098 -0.0398267 320313 925162 925162 202.973 0.008307 0 0.0127831 1 1 1 1
1981 1 1 4 0 9 500 500 5 5 1.75854e+07 0.209441 5 -14.5185 0 17 3 115 0.01249 0.01249 0 0 0 0 50 50 0.0140736 0.0418883 -0.0278147 1.31975e+06 736620 736620 44.6878 0.00668894 0 0.0140736 1 1 1 1
1981 1 1 4 0 9 500 500 5 5 1.75854e+07 0.230228 5 -14.5185 0 18 3 116 0.01264 0.01264 0 0 0 0 50 50 0.0143822 0.0460456 -0.0316634 964937 809728 809728 66.3886 0.0073209 0 0.0143822 1 1 1 1
1981 1 1 4 0 9 500 500 5 5 1.75854e+07 0.161034 5 -14.5185 0 21 3 126 0.01917 0.01917 0 0 0 0 50 50 0.0439961 0.0322069 0.0117892 3.95926e+06 566369 141620 1.8659 0.00519493 0 0.00754393 1 1 1 1
1981 1 1 4 0 9 500 500 5 5 1.75854e+07 0 5 -14.5185 0 21 4 163 0.04235 0.04235 0 0 0 0 50 50 0 0 0 2.44665e+06 0 193337 1.8659 0 0 0.0114293 1 0 1 1
1981 1 1 4 0 9 500 500 5 5 1.75854e+07 0 5 -14.5185 0 21 5 217 0.1012 0.1012 0 0 0 0 50 50 0 0 0 1.22551e+06 0 231412 1.8659 0 0 0.0250228 1 0 1 1
1981 1 1 4 0 9 500 500 5 5 1.75854e+07 0.165424 5 -14.5185 0 22 2 87 0.0019 0.0019 0 0 0 0 50 50 0.00474709 0.0330847 -0.0283376 1.99678e+07 581807 73005.3 1.92429 0.00533169 0 0.00051738 1 1 1 1
