Cod        

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-4
1974          3537987         183173         405602         252714          0.708
1975          2331901         169287         396310         241132          0.750
1976          7866783         151633         430415         305329          0.826
1977          4402731         120830         404024         347182          0.801
1978          5842889         114531         481334         327061          0.941
1979          4625606         107569         441165         428086          0.765
1980          3991747         119757         469081         587443          0.875
1981         13952132         123777         501423         390754          0.873
1982          5054126         116055         405010         356376          0.923
1983          5698069          99762         378063         279032          0.929
1984          4009530          88123         339202         378275          0.877
1985          5201972          89766         361730         245642          0.881
1986          3599541          77685         286070         339692          0.952
1987          3681242          79193         333310         243840          0.925
1988          2964041          76141         267390         193767          0.927
1989          2587663          71132         223214         201155          0.956
1990          2923100          68548         224238         151592          0.907
1991          3488501          64840         180814         119678          0.901
1992          2093087          64629         191886         148985          0.874
1993          3406008          69383         215509         141383          0.933
1994          2692567          71358         202386         208173          0.890
1995          3206406          81878         236299         168055          0.850
1996          5228544          91130         233375         138777          0.902
1997          1672718          89683         227655         155600          0.876
1998          2656262          95056         260701         184807          1.159
1999          4866331          67463         137104         107734          1.154
2000          1774494          47375         112580          82922          1.168
2001          1876933          46070         121948          61987          0.828
2002          2081585          46398          98783          65036          1.097
2003          3563453          34481          75838          34437          0.678
2004          2607615          35173          77899          36471          0.719
2005          4634091          36160          85471          38104          0.709
2006          2537113          37898          94450          37577          0.729
2007          2664989          45535         112568          54641          0.579
2008          2580793          53194         107326          51795          0.625
2009          2308890          55080         106044          54026          0.625
2010          1904905          54323         111819          49106          0.543
2011          4142657          65359         135482          40687          0.401
2012          6188603          72061         133886          40764          0.373
2013          4562324          72890         140408          40757          0.350
2014          2594179          76511         157774          45192          0.337
2015          1943658          85141         167377          49900          0.351
2016          2683450          85662         148321          50310          0.341
2017          1327025          79041         130758          46369          0.390
2018          1299303          69272         122392          47904          0.552
2019          1141534          50590          88310          35390          0.467
2020           925961          41165          81189          23607          0.353
2021          1865250          45300          97775          18228          0.223
2022          2150733          48860         104364          21128          0.250
2023                           53369

Whiting    

Year         Recruits          SSB            TSB          Yield           mean-F
