Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
16 1974  3.53799e+06 183173 405602 252714 243265 235082 252714 243265 235082 0.70841 99148.7
16 1975  2.3319e+06 169287 396310 241132 251306 224086 241132 251306 224086 0.749806 104519
16 1976  7.86678e+06 151633 430415 305329 257860 278671 305329 257860 278671 0.826226 147890
16 1977  4.40273e+06 120830 404024 347182 280852 317344 347182 280852 317344 0.801337 155199
16 1978  5.84289e+06 114531 481334 327061 375715 295637 327061 375715 295637 0.941318 166026
16 1979  4.62561e+06 107569 441165 428086 305718 384140 428086 305718 384140 0.764996 136571
16 1980  3.99175e+06 119757 469081 587443 352784 525473 587443 352784 525473 0.87535 161969
16 1981  1.39521e+07 123777 501423 390754 342313 349529 390754 342313 349529 0.873147 217839
16 1982  5.05413e+06 116055 405010 356376 334672 318222 356376 334672 318222 0.923373 156549
16 1983  5.69807e+06 99762.3 378063 279032 298884 247864 279032 298884 247864 0.929351 140615
16 1984  4.00953e+06 88123.3 339202 378275 271106 328184 378275 271106 328184 0.877467 135344
16 1985  5.20197e+06 89765.9 361730 245642 246353 216756 245642 246353 216756 0.880661 122922
16 1986  3.59954e+06 77684.8 286070 339692 239993 285894 339692 239993 285894 0.951641 114406
16 1987  3.68124e+06 79192.6 333310 243840 257621 212387 243840 257621 212387 0.924805 116373
16 1988  2.96404e+06 76140.8 267390 193767 214692 169640 193767 214692 169640 0.926786 82496.9
16 1989  2.58766e+06 71131.9 223214 201155 197061 168685 201155 197061 168685 0.955934 82975.7
16 1990  2.9231e+06 68547.6 224238 151592 156758 130441 151592 156758 130441 0.907066 80257.2
16 1991  3.4885e+06 64839.7 180814 119678 146907 101928 119678 146907 101928 0.901006 70734.6
16 1992  2.09309e+06 64628.6 191886 148985 170895 121249 148985 170895 121249 0.873785 74736.7
16 1993  3.40601e+06 69382.5 215509 141383 141655 120342 141383 141655 120342 0.933352 80994.1
16 1994  2.69257e+06 71357.7 202386 208173 131892 160052 208173 131892 160052 0.890312 80471.4
16 1995  3.20641e+06 81878.4 236299 168055 146310 138656 168055 146310 138656 0.849857 96173
16 1996  5.22854e+06 91130.4 233375 138777 158384 118648 138777 158384 118648 0.901737 98907.7
16 1997  1.67272e+06 89683.1 227655 155600 151954 125032 155600 151954 125032 0.875528 95238.9
16 1998  2.65626e+06 95056.4 260701 184807 165518 155875 184807 165518 155875 1.15871 85748.8
16 1999  4.86633e+06 67463.1 137104 107734 101268 91550.9 107734 101268 91550.9 1.15366 66734.2
16 2000  1.77449e+06 47374.5 112580 82922.2 90249.1 67399.4 82922.2 90249.1 67399.4 1.16791 52554.1
16 2001  1.87693e+06 46069.9 121948 61986.7 62291.4 51936.9 61986.7 62291.4 51936.9 0.828108 52291.2
16 2002  2.08159e+06 46398.1 98783.4 65036.4 66902 53938.6 65036.4 66902 53938.6 1.09685 43909.6
16 2003  3.56345e+06 34481.4 75838.1 34437 37495.2 29193.8 34437 37495.2 29193.8 0.678195 54992.4
16 2004  2.60761e+06 35173.3 77898.8 36471.4 34802.6 30158.3 36471.4 34802.6 30158.3 0.719421 55872.7
