"Species.n" "Year" "Rec" "SSB" "TSB" "SOP" "SOP.hat" "Yield" "yield.hat" "mean.F" "Eaten"
16 1963 448879 129744 0 128092 0 0 0 0.467 0
16 1964 735304 138581 0 130049 0 0 0 0.515 0
16 1965 979441 162757 0 209092 0 0 0 0.57 0
16 1966 1193002 182574 0 258059 0 0 0 0.574 0
16 1967 1015848 205322 0 274972 0 0 0 0.618 0
16 1968 505145 209979 0 304417 0 0 0 0.656 0
16 1969 438697 208284 0 204503 0 0 0 0.61 0
16 1970 1469677 213929 0 242656 0 0 0 0.645 0
16 1971 1949023 220614 0 410498 0 0 0 0.745 0
16 1972 482251 201619 0 385764 0 0 0 0.817 0
16 1973 696940 166614 0 267840 0 0 0 0.788 0
16 1974 691259 178411 0 252748 0 0 0 0.745 0
16 1975 1189072 169146 0 241089 0 0 0 0.808 0
16 1976 806197 146131 0 305404 0 0 0 0.868 0
16 1977 1985757 122529 0 347345 0 0 0 0.818 0
16 1978 1188124 118197 0 327074 0 0 0 0.925 0
16 1979 1481562 118543 0 428297 0 0 0 0.835 0
16 1980 2348608 118543 0 587962 0 0 0 0.923 0
16 1981 940544 128378 0 390691 0 0 0 0.931 0
16 1982 1470717 129400 0 356372 0 0 0 1.055 0
16 1983 834323 108670 0 279065 0 0 0 1.035 0
16 1984 1497219 96563 0 378074 0 0 0 0.964 0
16 1985 371613 92500 0 245651 0 0 0 0.92 0
16 1986 1811547 80540 0 339883 0 0 0 0.999 0
16 1987 708292 83513 0 243747 0 0 0 0.972 0
16 1988 473589 78012 0 193706 0 0 0 0.996 0
16 1989 844008 74712 0 201233 0 0 0 1.023 0
16 1990 339517 66205 0 151582 0 0 0 0.949 0
16 1991 398867 66219 0 119641 0 0 0 0.935 0
16 1992 964171 68143 0 148932 0 0 0 0.907 0
16 1993 439577 69976 0 141358 0 0 0 0.977 0
16 1994 1057585 72382 0 208123 0 0 0 0.946 0
16 1995 692028 77700 0 168104 0 0 0 0.875 0
16 1996 477477 92943 0 138751 0 0 0 0.904 0
16 1997 1535829 94962 0 155618 0 0 0 0.927 0
16 1998 142751 98574 0 184740 0 0 0 1.123 0
16 1999 312322 79182 0 107749 0 0 0 1.145 0
16 2000 451128 56004 0 82927 0 0 0 1.164 0
16 2001 183102 43384 0 61960 0 0 0 0.868 0
16 2002 261754 46653 0 65053 0 0 0 1.062 0
16 2003 121914 34911 0 34433 0 0 0 0.752 0
16 2004 241882 33269 0 36469 0 0 0 0.801 0
16 2005 189014 32081 0 38097 0 0 0 0.82 0
16 2006 420206 34227 0 37589 0 0 0 0.73 0
16 2007 187994 45174 0 54637 0 0 0 0.666 0
16 2008 211252 64486 0 51798 0 0 0 0.642 0
16 2009 236841 64626 0 54023 0 0 0 0.625 0
16 2010 305331 67293 0 49103 0 0 0 0.524 0
16 2011 145183 75754 0 40689 0 0 0 0.404 0
16 2012 223399 80025 0 40762 0 0 0 0.372 0
